Wyckoff pos.|1a(2/m)|1a(2/m)|1a(2/m)|1a(2/m)|1b(2/m)|1b(2/m)|1b(2/m)|1b(2/m)|1c(2/m)|1c(2/m)|1c(2/m)|1c(2/m)|1d(2/m)|1d(2/m)|1d(2/m)|1d(2/m)|1e(2/m)|1e(2/m)|1e(2/m)|1e(2/m)|1f(2/m)|1f(2/m)|1f(2/m)|1f(2/m)|1g(2/m)|1g(2/m)|1g(2/m)|1g(2/m)|1h(2/m)|1h(2/m)|1h(2/m)|1h(2/m)|1a(2/m)|1a(2/m)|1b(2/m)|1b(2/m)|1c(2/m)|1c(2/m)|1d(2/m)|1d(2/m)|1e(2/m)|1e(2/m)|1f(2/m)|1f(2/m)|1g(2/m)|1g(2/m)|1h(2/m)|1h(2/m)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹Eˢg²Eˢg↑G(2)|¹Eˢᵤ²Eˢᵤ↑G(2)|¹Eˢg²Eˢg↑G(2)|¹Eˢᵤ²Eˢᵤ↑G(2)|¹Eˢg²Eˢg↑G(2)|¹Eˢᵤ²Eˢᵤ↑G(2)|¹Eˢg²Eˢg↑G(2)|¹Eˢᵤ²Eˢᵤ↑G(2)|¹Eˢg²Eˢg↑G(2)|¹Eˢᵤ²Eˢᵤ↑G(2)|¹Eˢg²Eˢg↑G(2)|¹Eˢᵤ²Eˢᵤ↑G(2)|¹Eˢg²Eˢg↑G(2)|¹Eˢᵤ²Eˢᵤ↑G(2)|¹Eˢg²Eˢg↑G(2)|¹Eˢᵤ²Eˢᵤ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(1/2,0,1/2)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|Aˢ₃Aˢ₄(2)|Aˢ₅Aˢ₆(2)|Aˢ₃Aˢ₄(2)|Aˢ₅Aˢ₆(2)|Aˢ₅Aˢ₆(2)|Aˢ₃Aˢ₄(2)|Aˢ₅Aˢ₆(2)|Aˢ₃Aˢ₄(2)|Aˢ₅Aˢ₆(2)|Aˢ₃Aˢ₄(2)|Aˢ₅Aˢ₆(2)|Aˢ₃Aˢ₄(2)|Aˢ₃Aˢ₄(2)|Aˢ₅Aˢ₆(2)|Aˢ₃Aˢ₄(2)|Aˢ₅Aˢ₆(2)
B:(0,0,1/2)|B₁⁺(1)|B₁⁻(1)|B₂⁺(1)|B₂⁻(1)|B₁⁺(1)|B₁⁻(1)|B₂⁺(1)|B₂⁻(1)|B₂⁻(1)|B₂⁺(1)|B₁⁻(1)|B₁⁺(1)|B₁⁺(1)|B₁⁻(1)|B₂⁺(1)|B₂⁻(1)|B₁⁺(1)|B₁⁻(1)|B₂⁺(1)|B₂⁻(1)|B₂⁻(1)|B₂⁺(1)|B₁⁻(1)|B₁⁺(1)|B₂⁻(1)|B₂⁺(1)|B₁⁻(1)|B₁⁺(1)|B₂⁻(1)|B₂⁺(1)|B₁⁻(1)|B₁⁺(1)|Bˢ₃Bˢ₄(2)|Bˢ₅Bˢ₆(2)|Bˢ₃Bˢ₄(2)|Bˢ₅Bˢ₆(2)|Bˢ₅Bˢ₆(2)|Bˢ₃Bˢ₄(2)|Bˢ₃Bˢ₄(2)|Bˢ₅Bˢ₆(2)|Bˢ₃Bˢ₄(2)|Bˢ₅Bˢ₆(2)|Bˢ₅Bˢ₆(2)|Bˢ₃Bˢ₄(2)|Bˢ₅Bˢ₆(2)|Bˢ₃Bˢ₄(2)|Bˢ₅Bˢ₆(2)|Bˢ₃Bˢ₄(2)
C:(1/2,1/2,0)|C₁⁺(1)|C₁⁻(1)|C₂⁺(1)|C₂⁻(1)|C₁⁻(1)|C₁⁺(1)|C₂⁻(1)|C₂⁺(1)|C₁⁺(1)|C₁⁻(1)|C₂⁺(1)|C₂⁻(1)|C₂⁻(1)|C₂⁺(1)|C₁⁻(1)|C₁⁺(1)|C₂⁺(1)|C₂⁻(1)|C₁⁺(1)|C₁⁻(1)|C₁⁻(1)|C₁⁺(1)|C₂⁻(1)|C₂⁺(1)|C₂⁻(1)|C₂⁺(1)|C₁⁻(1)|C₁⁺(1)|C₂⁺(1)|C₂⁻(1)|C₁⁺(1)|C₁⁻(1)|Cˢ₃Cˢ₄(2)|Cˢ₅Cˢ₆(2)|Cˢ₅Cˢ₆(2)|Cˢ₃Cˢ₄(2)|Cˢ₃Cˢ₄(2)|Cˢ₅Cˢ₆(2)|Cˢ₅Cˢ₆(2)|Cˢ₃Cˢ₄(2)|Cˢ₃Cˢ₄(2)|Cˢ₅Cˢ₆(2)|Cˢ₅Cˢ₆(2)|Cˢ₃Cˢ₄(2)|Cˢ₅Cˢ₆(2)|Cˢ₃Cˢ₄(2)|Cˢ₃Cˢ₄(2)|Cˢ₅Cˢ₆(2)
D:(0,1/2,1/2)|D₁⁺(1)|D₁⁻(1)|D₂⁺(1)|D₂⁻(1)|D₁⁻(1)|D₁⁺(1)|D₂⁻(1)|D₂⁺(1)|D₂⁻(1)|D₂⁺(1)|D₁⁻(1)|D₁⁺(1)|D₁⁺(1)|D₁⁻(1)|D₂⁺(1)|D₂⁻(1)|D₁⁻(1)|D₁⁺(1)|D₂⁻(1)|D₂⁺(1)|D₂⁺(1)|D₂⁻(1)|D₁⁺(1)|D₁⁻(1)|D₂⁻(1)|D₂⁺(1)|D₁⁻(1)|D₁⁺(1)|D₂⁺(1)|D₂⁻(1)|D₁⁺(1)|D₁⁻(1)|Dˢ₃Dˢ₄(2)|Dˢ₅Dˢ₆(2)|Dˢ₅Dˢ₆(2)|Dˢ₃Dˢ₄(2)|Dˢ₅Dˢ₆(2)|Dˢ₃Dˢ₄(2)|Dˢ₃Dˢ₄(2)|Dˢ₅Dˢ₆(2)|Dˢ₅Dˢ₆(2)|Dˢ₃Dˢ₄(2)|Dˢ₃Dˢ₄(2)|Dˢ₅Dˢ₆(2)|Dˢ₅Dˢ₆(2)|Dˢ₃Dˢ₄(2)|Dˢ₃Dˢ₄(2)|Dˢ₅Dˢ₆(2)
E:(1/2,1/2,1/2)|E₁⁺(1)|E₁⁻(1)|E₂⁺(1)|E₂⁻(1)|E₁⁻(1)|E₁⁺(1)|E₂⁻(1)|E₂⁺(1)|E₂⁻(1)|E₂⁺(1)|E₁⁻(1)|E₁⁺(1)|E₂⁻(1)|E₂⁺(1)|E₁⁻(1)|E₁⁺(1)|E₂⁺(1)|E₂⁻(1)|E₁⁺(1)|E₁⁻(1)|E₂⁺(1)|E₂⁻(1)|E₁⁺(1)|E₁⁻(1)|E₁⁺(1)|E₁⁻(1)|E₂⁺(1)|E₂⁻(1)|E₁⁻(1)|E₁⁺(1)|E₂⁻(1)|E₂⁺(1)|Eˢ₃Eˢ₄(2)|Eˢ₅Eˢ₆(2)|Eˢ₅Eˢ₆(2)|Eˢ₃Eˢ₄(2)|Eˢ₅Eˢ₆(2)|Eˢ₃Eˢ₄(2)|Eˢ₅Eˢ₆(2)|Eˢ₃Eˢ₄(2)|Eˢ₃Eˢ₄(2)|Eˢ₅Eˢ₆(2)|Eˢ₃Eˢ₄(2)|Eˢ₅Eˢ₆(2)|Eˢ₃Eˢ₄(2)|Eˢ₅Eˢ₆(2)|Eˢ₅Eˢ₆(2)|Eˢ₃Eˢ₄(2)
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γˢ₃Γˢ₄(2)|Γˢ₅Γˢ₆(2)|Γˢ₃Γˢ₄(2)|Γˢ₅Γˢ₆(2)|Γˢ₃Γˢ₄(2)|Γˢ₅Γˢ₆(2)|Γˢ₃Γˢ₄(2)|Γˢ₅Γˢ₆(2)|Γˢ₃Γˢ₄(2)|Γˢ₅Γˢ₆(2)|Γˢ₃Γˢ₄(2)|Γˢ₅Γˢ₆(2)|Γˢ₃Γˢ₄(2)|Γˢ₅Γˢ₆(2)|Γˢ₃Γˢ₄(2)|Γˢ₅Γˢ₆(2)
Y:(1/2,0,0)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₂⁻(1)|Y₂⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₂⁻(1)|Y₂⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₂⁻(1)|Y₂⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₂⁻(1)|Y₂⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Yˢ₃Yˢ₄(2)|Yˢ₅Yˢ₆(2)|Yˢ₃Yˢ₄(2)|Yˢ₅Yˢ₆(2)|Yˢ₃Yˢ₄(2)|Yˢ₅Yˢ₆(2)|Yˢ₅Yˢ₆(2)|Yˢ₃Yˢ₄(2)|Yˢ₅Yˢ₆(2)|Yˢ₃Yˢ₄(2)|Yˢ₃Yˢ₄(2)|Yˢ₅Yˢ₆(2)|Yˢ₅Yˢ₆(2)|Yˢ₃Yˢ₄(2)|Yˢ₅Yˢ₆(2)|Yˢ₃Yˢ₄(2)
