Wyckoff pos.|1a(mmm)|1a(mmm)|1a(mmm)|1a(mmm)|1a(mmm)|1a(mmm)|1a(mmm)|1a(mmm)|1b(mmm)|1b(mmm)|1b(mmm)|1b(mmm)|1b(mmm)|1b(mmm)|1b(mmm)|1b(mmm)|1c(mmm)|1c(mmm)|1c(mmm)|1c(mmm)|1c(mmm)|1c(mmm)|1c(mmm)|1c(mmm)|1d(mmm)|1d(mmm)|1d(mmm)|1d(mmm)|1d(mmm)|1d(mmm)|1d(mmm)|1d(mmm)|1e(mmm)|1e(mmm)|1e(mmm)|1e(mmm)|1e(mmm)|1e(mmm)|1e(mmm)|1e(mmm)|1f(mmm)|1f(mmm)|1f(mmm)|1f(mmm)|1f(mmm)|1f(mmm)|1f(mmm)|1f(mmm)|1g(mmm)|1g(mmm)|1g(mmm)|1g(mmm)|1g(mmm)|1g(mmm)|1g(mmm)|1g(mmm)|1h(mmm)|1h(mmm)|1h(mmm)|1h(mmm)|1h(mmm)|1h(mmm)|1h(mmm)|1h(mmm)|1a(mmm)|1a(mmm)|1b(mmm)|1b(mmm)|1c(mmm)|1c(mmm)|1d(mmm)|1d(mmm)|1e(mmm)|1e(mmm)|1f(mmm)|1f(mmm)|1g(mmm)|1g(mmm)|1h(mmm)|1h(mmm)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|B₃g↑G(1)|B₃ᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|B₃g↑G(1)|B₃ᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|B₃g↑G(1)|B₃ᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|B₃g↑G(1)|B₃ᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|B₃g↑G(1)|B₃ᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|B₃g↑G(1)|B₃ᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|B₃g↑G(1)|B₃ᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|B₃g↑G(1)|B₃ᵤ↑G(1)|Egˢ↑G(2)|Eᵤˢ↑G(2)|Egˢ↑G(2)|Eᵤˢ↑G(2)|Egˢ↑G(2)|Eᵤˢ↑G(2)|Egˢ↑G(2)|Eᵤˢ↑G(2)|Egˢ↑G(2)|Eᵤˢ↑G(2)|Egˢ↑G(2)|Eᵤˢ↑G(2)|Egˢ↑G(2)|Eᵤˢ↑G(2)|Egˢ↑G(2)|Eᵤˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₅ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₆ˢ(2)
R:(1/2,1/2,1/2)|R₁⁺(1)|R₁⁻(1)|R₂⁺(1)|R₂⁻(1)|R₄⁺(1)|R₄⁻(1)|R₃⁺(1)|R₃⁻(1)|R₃⁻(1)|R₃⁺(1)|R₄⁻(1)|R₄⁺(1)|R₂⁻(1)|R₂⁺(1)|R₁⁻(1)|R₁⁺(1)|R₂⁻(1)|R₂⁺(1)|R₁⁻(1)|R₁⁺(1)|R₃⁻(1)|R₃⁺(1)|R₄⁻(1)|R₄⁺(1)|R₄⁺(1)|R₄⁻(1)|R₃⁺(1)|R₃⁻(1)|R₁⁺(1)|R₁⁻(1)|R₂⁺(1)|R₂⁻(1)|R₄⁻(1)|R₄⁺(1)|R₃⁻(1)|R₃⁺(1)|R₁⁻(1)|R₁⁺(1)|R₂⁻(1)|R₂⁺(1)|R₂⁺(1)|R₂⁻(1)|R₁⁺(1)|R₁⁻(1)|R₃⁺(1)|R₃⁻(1)|R₄⁺(1)|R₄⁻(1)|R₃⁺(1)|R₃⁻(1)|R₄⁺(1)|R₄⁻(1)|R₂⁺(1)|R₂⁻(1)|R₁⁺(1)|R₁⁻(1)|R₁⁻(1)|R₁⁺(1)|R₂⁻(1)|R₂⁺(1)|R₄⁻(1)|R₄⁺(1)|R₃⁻(1)|R₃⁺(1)|R₅ˢ(2)|R₆ˢ(2)|R₆ˢ(2)|R₅ˢ(2)|R₆ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₆ˢ(2)|R₆ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₆ˢ(2)|R₅ˢ(2)|R₆ˢ(2)|R₆ˢ(2)|R₅ˢ(2)
S:(1/2,1/2,0)|S₁⁺(1)|S₁⁻(1)|S₂⁺(1)|S₂⁻(1)|S₄⁺(1)|S₄⁻(1)|S₃⁺(1)|S₃⁻(1)|S₃⁻(1)|S₃⁺(1)|S₄⁻(1)|S₄⁺(1)|S₂⁻(1)|S₂⁺(1)|S₁⁻(1)|S₁⁺(1)|S₁⁺(1)|S₁⁻(1)|S₂⁺(1)|S₂⁻(1)|S₄⁺(1)|S₄⁻(1)|S₃⁺(1)|S₃⁻(1)|S₃⁻(1)|S₃⁺(1)|S₄⁻(1)|S₄⁺(1)|S₂⁻(1)|S₂⁺(1)|S₁⁻(1)|S₁⁺(1)|S₄⁻(1)|S₄⁺(1)|S₃⁻(1)|S₃⁺(1)|S₁⁻(1)|S₁⁺(1)|S₂⁻(1)|S₂⁺(1)|S₂⁺(1)|S₂⁻(1)|S₁⁺(1)|S₁⁻(1)|S₃⁺(1)|S₃⁻(1)|S₄⁺(1)|S₄⁻(1)|S₄⁻(1)|S₄⁺(1)|S₃⁻(1)|S₃⁺(1)|S₁⁻(1)|S₁⁺(1)|S₂⁻(1)|S₂⁺(1)|S₂⁺(1)|S₂⁻(1)|S₁⁺(1)|S₁⁻(1)|S₃⁺(1)|S₃⁻(1)|S₄⁺(1)|S₄⁻(1)|S₅ˢ(2)|S₆ˢ(2)|S₆ˢ(2)|S₅ˢ(2)|S₅ˢ(2)|S₆ˢ(2)|S₆ˢ(2)|S₅ˢ(2)|S₆ˢ(2)|S₅ˢ(2)|S₅ˢ(2)|S₆ˢ(2)|S₆ˢ(2)|S₅ˢ(2)|S₅ˢ(2)|S₆ˢ(2)
T:(0,1/2,1/2)|T₁⁺(1)|T₁⁻(1)|T₂⁺(1)|T₂⁻(1)|T₄⁺(1)|T₄⁻(1)|T₃⁺(1)|T₃⁻(1)|T₁⁺(1)|T₁⁻(1)|T₂⁺(1)|T₂⁻(1)|T₄⁺(1)|T₄⁻(1)|T₃⁺(1)|T₃⁻(1)|T₂⁻(1)|T₂⁺(1)|T₁⁻(1)|T₁⁺(1)|T₃⁻(1)|T₃⁺(1)|T₄⁻(1)|T₄⁺(1)|T₂⁻(1)|T₂⁺(1)|T₁⁻(1)|T₁⁺(1)|T₃⁻(1)|T₃⁺(1)|T₄⁻(1)|T₄⁺(1)|T₄⁻(1)|T₄⁺(1)|T₃⁻(1)|T₃⁺(1)|T₁⁻(1)|T₁⁺(1)|T₂⁻(1)|T₂⁺(1)|T₄⁻(1)|T₄⁺(1)|T₃⁻(1)|T₃⁺(1)|T₁⁻(1)|T₁⁺(1)|T₂⁻(1)|T₂⁺(1)|T₃⁺(1)|T₃⁻(1)|T₄⁺(1)|T₄⁻(1)|T₂⁺(1)|T₂⁻(1)|T₁⁺(1)|T₁⁻(1)|T₃⁺(1)|T₃⁻(1)|T₄⁺(1)|T₄⁻(1)|T₂⁺(1)|T₂⁻(1)|T₁⁺(1)|T₁⁻(1)|T₅ˢ(2)|T₆ˢ(2)|T₅ˢ(2)|T₆ˢ(2)|T₆ˢ(2)|T₅ˢ(2)|T₆ˢ(2)|T₅ˢ(2)|T₆ˢ(2)|T₅ˢ(2)|T₆ˢ(2)|T₅ˢ(2)|T₅ˢ(2)|T₆ˢ(2)|T₅ˢ(2)|T₆ˢ(2)
U:(1/2,0,1/2)|U₁⁺(1)|U₁⁻(1)|U₂⁺(1)|U₂⁻(1)|U₄⁺(1)|U₄⁻(1)|U₃⁺(1)|U₃⁻(1)|U₃⁻(1)|U₃⁺(1)|U₄⁻(1)|U₄⁺(1)|U₂⁻(1)|U₂⁺(1)|U₁⁻(1)|U₁⁺(1)|U₂⁻(1)|U₂⁺(1)|U₁⁻(1)|U₁⁺(1)|U₃⁻(1)|U₃⁺(1)|U₄⁻(1)|U₄⁺(1)|U₄⁺(1)|U₄⁻(1)|U₃⁺(1)|U₃⁻(1)|U₁⁺(1)|U₁⁻(1)|U₂⁺(1)|U₂⁻(1)|U₁⁺(1)|U₁⁻(1)|U₂⁺(1)|U₂⁻(1)|U₄⁺(1)|U₄⁻(1)|U₃⁺(1)|U₃⁻(1)|U₃⁻(1)|U₃⁺(1)|U₄⁻(1)|U₄⁺(1)|U₂⁻(1)|U₂⁺(1)|U₁⁻(1)|U₁⁺(1)|U₂⁻(1)|U₂⁺(1)|U₁⁻(1)|U₁⁺(1)|U₃⁻(1)|U₃⁺(1)|U₄⁻(1)|U₄⁺(1)|U₄⁺(1)|U₄⁻(1)|U₃⁺(1)|U₃⁻(1)|U₁⁺(1)|U₁⁻(1)|U₂⁺(1)|U₂⁻(1)|U₅ˢ(2)|U₆ˢ(2)|U₆ˢ(2)|U₅ˢ(2)|U₆ˢ(2)|U₅ˢ(2)|U₅ˢ(2)|U₆ˢ(2)|U₅ˢ(2)|U₆ˢ(2)|U₆ˢ(2)|U₅ˢ(2)|U₆ˢ(2)|U₅ˢ(2)|U₅ˢ(2)|U₆ˢ(2)
X:(1/2,0,0)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₄⁺(1)|X₄⁻(1)|X₃⁺(1)|X₃⁻(1)|X₃⁻(1)|X₃⁺(1)|X₄⁻(1)|X₄⁺(1)|X₂⁻(1)|X₂⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₄⁺(1)|X₄⁻(1)|X₃⁺(1)|X₃⁻(1)|X₃⁻(1)|X₃⁺(1)|X₄⁻(1)|X₄⁺(1)|X₂⁻(1)|X₂⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₄⁺(1)|X₄⁻(1)|X₃⁺(1)|X₃⁻(1)|X₃⁻(1)|X₃⁺(1)|X₄⁻(1)|X₄⁺(1)|X₂⁻(1)|X₂⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₄⁺(1)|X₄⁻(1)|X₃⁺(1)|X₃⁻(1)|X₃⁻(1)|X₃⁺(1)|X₄⁻(1)|X₄⁺(1)|X₂⁻(1)|X₂⁺(1)|X₁⁻(1)|X₁⁺(1)|X₅ˢ(2)|X₆ˢ(2)|X₆ˢ(2)|X₅ˢ(2)|X₅ˢ(2)|X₆ˢ(2)|X₆ˢ(2)|X₅ˢ(2)|X₅ˢ(2)|X₆ˢ(2)|X₆ˢ(2)|X₅ˢ(2)|X₅ˢ(2)|X₆ˢ(2)|X₆ˢ(2)|X₅ˢ(2)
Y:(0,1/2,0)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₄⁺(1)|Y₄⁻(1)|Y₃⁺(1)|Y₃⁻(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₄⁺(1)|Y₄⁻(1)|Y₃⁺(1)|Y₃⁻(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₄⁺(1)|Y₄⁻(1)|Y₃⁺(1)|Y₃⁻(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₄⁺(1)|Y₄⁻(1)|Y₃⁺(1)|Y₃⁻(1)|Y₄⁻(1)|Y₄⁺(1)|Y₃⁻(1)|Y₃⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₂⁻(1)|Y₂⁺(1)|Y₄⁻(1)|Y₄⁺(1)|Y₃⁻(1)|Y₃⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₂⁻(1)|Y₂⁺(1)|Y₄⁻(1)|Y₄⁺(1)|Y₃⁻(1)|Y₃⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₂⁻(1)|Y₂⁺(1)|Y₄⁻(1)|Y₄⁺(1)|Y₃⁻(1)|Y₃⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₂⁻(1)|Y₂⁺(1)|Y₅ˢ(2)|Y₆ˢ(2)|Y₅ˢ(2)|Y₆ˢ(2)|Y₅ˢ(2)|Y₆ˢ(2)|Y₅ˢ(2)|Y₆ˢ(2)|Y₆ˢ(2)|Y₅ˢ(2)|Y₆ˢ(2)|Y₅ˢ(2)|Y₆ˢ(2)|Y₅ˢ(2)|Y₆ˢ(2)|Y₅ˢ(2)
