Wyckoff pos.|4a(-1)|4a(-1)|4b(-1)|4b(-1)|4c(2)|4c(2)|4d(2)|4d(2)|4a(-1)|4a(-1)|4b(-1)|4b(-1)|4c(2)|4d(2)
Band-Rep.|Ag↑G(4)|Aᵤ↑G(4)|Ag↑G(4)|Aᵤ↑G(4)|A↑G(4)|B↑G(4)|A↑G(4)|B↑G(4)|AgˢAgˢ↑G(8)|AᵤˢAᵤˢ↑G(8)|AgˢAgˢ↑G(8)|AᵤˢAᵤˢ↑G(8)|¹Eˢ²Eˢ↑G(8)|¹Eˢ²Eˢ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|4Γ₅ˢ(2)|4Γ₆ˢ(2)|4Γ₅ˢ(2)|4Γ₆ˢ(2)|2Γ₅ˢ(2)⊕2Γ₆ˢ(2)|2Γ₅ˢ(2)⊕2Γ₆ˢ(2)
R:(1/2,1/2,1/2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|2R₃ˢR₄ˢ(4)|2R₃ˢR₄ˢ(4)|2R₃ˢR₄ˢ(4)|2R₃ˢR₄ˢ(4)|2R₃ˢR₄ˢ(4)|2R₃ˢR₄ˢ(4)
S:(1/2,1/2,0)|S₁S₂(4)|S₁S₂(4)|S₁S₂(4)|S₁S₂(4)|S₁S₂(4)|S₁S₂(4)|S₁S₂(4)|S₁S₂(4)|S₃ˢS₃ˢ(4)⊕S₄ˢS₄ˢ(4)|S₃ˢS₃ˢ(4)⊕S₄ˢS₄ˢ(4)|S₃ˢS₃ˢ(4)⊕S₄ˢS₄ˢ(4)|S₃ˢS₃ˢ(4)⊕S₄ˢS₄ˢ(4)|S₃ˢS₃ˢ(4)⊕S₄ˢS₄ˢ(4)|S₃ˢS₃ˢ(4)⊕S₄ˢS₄ˢ(4)
T:(0,1/2,1/2)|2T₁⁺(2)|2T₁⁻(2)|2T₁⁻(2)|2T₁⁺(2)|T₁⁺(2)⊕T₁⁻(2)|T₁⁺(2)⊕T₁⁻(2)|T₁⁺(2)⊕T₁⁻(2)|T₁⁺(2)⊕T₁⁻(2)|2T₂ˢT₅ˢ(2)⊕2T₃ˢT₄ˢ(2)|2T₆ˢT₉ˢ(2)⊕2T₇ˢT₈ˢ(2)|2T₆ˢT₉ˢ(2)⊕2T₇ˢT₈ˢ(2)|2T₂ˢT₅ˢ(2)⊕2T₃ˢT₄ˢ(2)|T₂ˢT₅ˢ(2)⊕T₃ˢT₄ˢ(2)⊕T₆ˢT₉ˢ(2)⊕T₇ˢT₈ˢ(2)|T₂ˢT₅ˢ(2)⊕T₃ˢT₄ˢ(2)⊕T₆ˢT₉ˢ(2)⊕T₇ˢT₈ˢ(2)
U:(1/2,0,1/2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|2U₃ˢU₄ˢ(4)|2U₃ˢU₄ˢ(4)|2U₃ˢU₄ˢ(4)|2U₃ˢU₄ˢ(4)|2U₃ˢU₄ˢ(4)|2U₃ˢU₄ˢ(4)
X:(1/2,0,0)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|2X₁(2)|2X₂(2)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)
Y:(0,1/2,0)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|2Y₃ˢY₄ˢ(4)|2Y₃ˢY₄ˢ(4)|2Y₃ˢY₄ˢ(4)|2Y₃ˢY₄ˢ(4)|2Y₃ˢY₄ˢ(4)|2Y₃ˢY₄ˢ(4)
Z:(0,0,1/2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|2Z₁(2)|2Z₂(2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|2Z₃ˢZ₄ˢ(4)|2Z₃ˢZ₄ˢ(4)|2Z₃ˢZ₄ˢ(4)|2Z₃ˢZ₄ˢ(4)|2Z₃ˢZ₄ˢ(4)|2Z₃ˢZ₄ˢ(4)
