Wyckoff pos.|2a(32)|2a(32)|2a(32)|2b(6ˢ)|2b(6ˢ)|2b(6ˢ)|2b(6ˢ)|2c(6ˢ)|2c(6ˢ)|2c(6ˢ)|2c(6ˢ)|2d(6ˢ)|2d(6ˢ)|2d(6ˢ)|2d(6ˢ)|2a(32)|2a(32)|2b(6ˢ)|2b(6ˢ)|2b(6ˢ)|2c(6ˢ)|2c(6ˢ)|2c(6ˢ)|2d(6ˢ)|2d(6ˢ)|2d(6ˢ)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|E↑G(4)|A'↑G(2)|A''↑G(2)|¹E''²E''↑G(4)|¹E'²E'↑G(4)|A'↑G(2)|A''↑G(2)|¹E''²E''↑G(4)|¹E'²E'↑G(4)|A'↑G(2)|A''↑G(2)|¹E''²E''↑G(4)|¹E'²E'↑G(4)|¹Eˢ²Eˢ↑G(4)|Eˢ₁↑G(4)|¹Eˢ₁²Eˢ₁↑G(4)|¹Eˢ₂²Eˢ₂↑G(4)|¹Eˢ₃²Eˢ₃↑G(4)|¹Eˢ₁²Eˢ₁↑G(4)|¹Eˢ₂²Eˢ₂↑G(4)|¹Eˢ₃²Eˢ₃↑G(4)|¹Eˢ₁²Eˢ₁↑G(4)|¹Eˢ₂²Eˢ₂↑G(4)|¹Eˢ₃²Eˢ₃↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₃(2)|A₃(2)|A₁A₂(4)|A₃(2)|A₃(2)|A₁A₂(4)|A₁A₂(4)|A₃(2)|A₃(2)|A₁A₂(4)|A₁A₂(4)|A₃(2)|A₃(2)|A₁A₂(4)|A₁A₂(4)|Aˢ₄Aˢ₇(2)⊕Aˢ₅Aˢ₆(2)|Aˢ₈Aˢ₉(4)|Aˢ₄Aˢ₇(2)⊕Aˢ₅Aˢ₆(2)|Aˢ₈Aˢ₉(4)|Aˢ₈Aˢ₉(4)|Aˢ₄Aˢ₇(2)⊕Aˢ₅Aˢ₆(2)|Aˢ₈Aˢ₉(4)|Aˢ₈Aˢ₉(4)|Aˢ₄Aˢ₇(2)⊕Aˢ₅Aˢ₆(2)|Aˢ₈Aˢ₉(4)|Aˢ₈Aˢ₉(4)
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₅(2)⊕Γ₆(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|2Γ₆(2)|2Γ₅(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|2Γ₆(2)|2Γ₅(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|2Γ₆(2)|2Γ₅(2)|2Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|2Γˢ₇(2)|2Γˢ₈(2)|2Γˢ₉(2)|2Γˢ₇(2)|2Γˢ₈(2)|2Γˢ₉(2)|2Γˢ₇(2)|2Γˢ₈(2)|2Γˢ₉(2)
H:(1/3,1/3,1/2)|H₃(2)|H₃(2)|H₁(2)⊕H₂(2)|H₃(2)|H₃(2)|H₁(2)⊕H₂(2)|H₁(2)⊕H₂(2)|H₁(2)|H₂(2)|H₁(2)⊕H₃(2)|H₂(2)⊕H₃(2)|H₂(2)|H₁(2)|H₂(2)⊕H₃(2)|H₁(2)⊕H₃(2)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(1)⊕Hˢ₇(1)|Hˢ₈(2)⊕Hˢ₉(2)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(1)⊕Hˢ₇(1)|Hˢ₈(2)⊕Hˢ₉(2)|Hˢ₈(2)⊕Hˢ₉(2)|Hˢ₈(2)⊕Hˢ₉(2)|Hˢ₆(1)⊕Hˢ₇(1)⊕Hˢ₈(2)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₉(2)|Hˢ₈(2)⊕Hˢ₉(2)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₉(2)|Hˢ₆(1)⊕Hˢ₇(1)⊕Hˢ₈(2)
HA:(-1/3,-1/3,-1/2)|HA₃(2)|HA₃(2)|HA₁(2)⊕HA₂(2)|HA₃(2)|HA₃(2)|HA₁(2)⊕HA₂(2)|HA₁(2)⊕HA₂(2)|HA₁(2)|HA₂(2)|HA₁(2)⊕HA₃(2)|HA₂(2)⊕HA₃(2)|HA₂(2)|HA₁(2)|HA₂(2)⊕HA₃(2)|HA₁(2)⊕HA₃(2)|HAˢ₄(1)⊕HAˢ₅(1)⊕HAˢ₆(1)⊕HAˢ₇(1)|HAˢ₈(2)⊕HAˢ₉(2)|HAˢ₄(1)⊕HAˢ₅(1)⊕HAˢ₆(1)⊕HAˢ₇(1)|HAˢ₈(2)⊕HAˢ₉(2)|HAˢ₈(2)⊕HAˢ₉(2)|HAˢ₈(2)⊕HAˢ₉(2)|HAˢ₆(1)⊕HAˢ₇(1)⊕HAˢ₈(2)|HAˢ₄(1)⊕HAˢ₅(1)⊕HAˢ₉(2)|HAˢ₈(2)⊕HAˢ₉(2)|HAˢ₄(1)⊕HAˢ₅(1)⊕HAˢ₉(2)|HAˢ₆(1)⊕HAˢ₇(1)⊕HAˢ₈(2)
K:(1/3,1/3,0)|K₁(1)⊕K₂(1)|K₃(1)⊕K₄(1)|K₅(2)⊕K₆(2)|K₁(1)⊕K₄(1)|K₂(1)⊕K₃(1)|2K₆(2)|2K₅(2)|K₅(2)|K₆(2)|K₂(1)⊕K₃(1)⊕K₆(2)|K₁(1)⊕K₄(1)⊕K₅(2)|K₅(2)|K₆(2)|K₂(1)⊕K₃(1)⊕K₆(2)|K₁(1)⊕K₄(1)⊕K₅(2)|2Kˢ₇(2)|Kˢ₈(2)⊕Kˢ₉(2)|2Kˢ₇(2)|2Kˢ₈(2)|2Kˢ₉(2)|Kˢ₈(2)⊕Kˢ₉(2)|Kˢ₇(2)⊕Kˢ₉(2)|Kˢ₇(2)⊕Kˢ₈(2)|Kˢ₈(2)⊕Kˢ₉(2)|Kˢ₇(2)⊕Kˢ₉(2)|Kˢ₇(2)⊕Kˢ₈(2)
KA:(-1/3,-1/3,0)|KA₁(1)⊕KA₂(1)|KA₃(1)⊕KA₄(1)|KA₅(2)⊕KA₆(2)|KA₁(1)⊕KA₄(1)|KA₂(1)⊕KA₃(1)|2KA₆(2)|2KA₅(2)|KA₅(2)|KA₆(2)|KA₂(1)⊕KA₃(1)⊕KA₆(2)|KA₁(1)⊕KA₄(1)⊕KA₅(2)|KA₅(2)|KA₆(2)|KA₂(1)⊕KA₃(1)⊕KA₆(2)|KA₁(1)⊕KA₄(1)⊕KA₅(2)|2KAˢ₇(2)|KAˢ₈(2)⊕KAˢ₉(2)|2KAˢ₇(2)|2KAˢ₈(2)|2KAˢ₉(2)|KAˢ₈(2)⊕KAˢ₉(2)|KAˢ₇(2)⊕KAˢ₉(2)|KAˢ₇(2)⊕KAˢ₈(2)|KAˢ₈(2)⊕KAˢ₉(2)|KAˢ₇(2)⊕KAˢ₉(2)|KAˢ₇(2)⊕KAˢ₈(2)
L:(1/2,0,1/2)|L₁(2)|L₁(2)|2L₁(2)|L₁(2)|L₁(2)|2L₁(2)|2L₁(2)|L₁(2)|L₁(2)|2L₁(2)|2L₁(2)|L₁(2)|L₁(2)|2L₁(2)|2L₁(2)|Lˢ₂Lˢ₃(2)⊕Lˢ₄Lˢ₅(2)|Lˢ₂Lˢ₃(2)⊕Lˢ₄Lˢ₅(2)|Lˢ₂Lˢ₃(2)⊕Lˢ₄Lˢ₅(2)|Lˢ₂Lˢ₃(2)⊕Lˢ₄Lˢ₅(2)|Lˢ₂Lˢ₃(2)⊕Lˢ₄Lˢ₅(2)|Lˢ₂Lˢ₃(2)⊕Lˢ₄Lˢ₅(2)|Lˢ₂Lˢ₃(2)⊕Lˢ₄Lˢ₅(2)|Lˢ₂Lˢ₃(2)⊕Lˢ₄Lˢ₅(2)|Lˢ₂Lˢ₃(2)⊕Lˢ₄Lˢ₅(2)|Lˢ₂Lˢ₃(2)⊕Lˢ₄Lˢ₅(2)|Lˢ₂Lˢ₃(2)⊕Lˢ₄Lˢ₅(2)
