Wyckoff pos.|2a(32)|2a(32)|2a(32)|2b(3ˢ)|2b(3ˢ)|2b(3ˢ)|2b(3ˢ)|4d(3)|4d(3)|6e(1ˢ)|6e(1ˢ)|2a(32)|2a(32)|2b(3ˢ)|2b(3ˢ)|2b(3ˢ)|2b(3ˢ)|4d(3)|4d(3)|6e(1ˢ)|6e(1ˢ)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|E↑G(4)|A₁g↑G(2)|A₁ᵤ↑G(2)|¹Eg²Eg↑G(4)|¹Eᵤ²Eᵤ↑G(4)|A₁↑G(4)|¹E²E↑G(8)|Ag↑G(6)|Aᵤ↑G(6)|¹Eˢ²Eˢ↑G(4)|Eˢ₁↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|EˢgEˢg↑G(4)|EˢᵤEˢᵤ↑G(4)|¹Eˢ²Eˢ↑G(8)|EˢEˢ↑G(8)|AˢgAˢg↑G(12)|AˢᵤAˢᵤ↑G(12)
Decomposable|false|false|false|false|false|false|false|false|true|true|true|false|false|false|false|false|false|true|true|true|true
A:(0,0,1/2)|A₃(2)|A₃(2)|A₁A₂(4)|A₃(2)|A₃(2)|A₁A₂(4)|A₁A₂(4)|2A₃(2)|2A₁A₂(4)|A₁A₂(4)⊕A₃(2)|A₁A₂(4)⊕A₃(2)|Aˢ₄Aˢ₄(4)|Aˢ₅Aˢ₆(4)|Aˢ₅Aˢ₆(4)|Aˢ₅Aˢ₆(4)|Aˢ₄Aˢ₄(4)|Aˢ₄Aˢ₄(4)|2Aˢ₅Aˢ₆(4)|2Aˢ₄Aˢ₄(4)|Aˢ₄Aˢ₄(4)⊕2Aˢ₅Aˢ₆(4)|Aˢ₄Aˢ₄(4)⊕2Aˢ₅Aˢ₆(4)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|2Γ₃⁺(2)|2Γ₃⁻(2)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₂⁻(1)|2Γ₃⁺(2)⊕2Γ₃⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕2Γ₃⁺(2)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕2Γ₃⁻(2)|Γˢ₄Γˢ₅(2)⊕Γˢ₆Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|2Γˢ₈(2)|2Γˢ₉(2)|2Γˢ₄Γˢ₅(2)|2Γˢ₆Γˢ₇(2)|2Γˢ₈(2)⊕2Γˢ₉(2)|2Γˢ₄Γˢ₅(2)⊕2Γˢ₆Γˢ₇(2)|2Γˢ₄Γˢ₅(2)⊕4Γˢ₈(2)|2Γˢ₆Γˢ₇(2)⊕4Γˢ₉(2)
H:(1/3,1/3,1/2)|H₁H₂(2)|H₁H₂(2)|H₃H₃(4)|H₁H₂(2)|H₁H₂(2)|H₃H₃(4)|H₃H₃(4)|H₃H₃(4)|2H₁H₂(2)⊕H₃H₃(4)|H₁H₂(2)⊕H₃H₃(4)|H₁H₂(2)⊕H₃H₃(4)|Hˢ₄Hˢ₄(2)⊕Hˢ₅Hˢ₅(2)|Hˢ₆Hˢ₆(4)|Hˢ₆Hˢ₆(4)|Hˢ₆Hˢ₆(4)|Hˢ₄Hˢ₄(2)⊕Hˢ₅Hˢ₅(2)|Hˢ₄Hˢ₄(2)⊕Hˢ₅Hˢ₅(2)|Hˢ₄Hˢ₄(2)⊕Hˢ₅Hˢ₅(2)⊕Hˢ₆Hˢ₆(4)|2Hˢ₆Hˢ₆(4)|Hˢ₄Hˢ₄(2)⊕Hˢ₅Hˢ₅(2)⊕2Hˢ₆Hˢ₆(4)|Hˢ₄Hˢ₄(2)⊕Hˢ₅Hˢ₅(2)⊕2Hˢ₆Hˢ₆(4)
K:(1/3,1/3,0)|2K₁(1)|2K₂(1)|2K₃(2)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|2K₃(2)|2K₃(2)|2K₃(2)|2K₁(1)⊕2K₂(1)⊕2K₃(2)|K₁(1)⊕K₂(1)⊕2K₃(2)|K₁(1)⊕K₂(1)⊕2K₃(2)|2Kˢ₄Kˢ₅(2)|2Kˢ₆(2)|2Kˢ₆(2)|2Kˢ₆(2)|2Kˢ₄Kˢ₅(2)|2Kˢ₄Kˢ₅(2)|2Kˢ₄Kˢ₅(2)⊕2Kˢ₆(2)|4Kˢ₆(2)|2Kˢ₄Kˢ₅(2)⊕4Kˢ₆(2)|2Kˢ₄Kˢ₅(2)⊕4Kˢ₆(2)
L:(1/2,0,1/2)|L₁(2)|L₁(2)|2L₁(2)|L₁(2)|L₁(2)|2L₁(2)|2L₁(2)|2L₁(2)|4L₁(2)|3L₁(2)|3L₁(2)|Lˢ₂Lˢ₂(4)|Lˢ₂Lˢ₂(4)|Lˢ₂Lˢ₂(4)|Lˢ₂Lˢ₂(4)|Lˢ₂Lˢ₂(4)|Lˢ₂Lˢ₂(4)|2Lˢ₂Lˢ₂(4)|2Lˢ₂Lˢ₂(4)|3Lˢ₂Lˢ₂(4)|3Lˢ₂Lˢ₂(4)
M:(1/2,0,0)|M₁⁺(1)⊕M₁⁻(1)|M₂⁺(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|2M₁⁺(1)⊕2M₂⁺(1)|2M₁⁻(1)⊕2M₂⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)|2M₁⁺(1)⊕2M₁⁻(1)⊕2M₂⁺(1)⊕2M₂⁻(1)|M₁⁺(1)⊕2M₁⁻(1)⊕M₂⁺(1)⊕2M₂⁻(1)|2M₁⁺(1)⊕M₁⁻(1)⊕2M₂⁺(1)⊕M₂⁻(1)|Mˢ₃Mˢ₄(2)⊕Mˢ₅Mˢ₆(2)|Mˢ₃Mˢ₄(2)⊕Mˢ₅Mˢ₆(2)|2Mˢ₃Mˢ₄(2)|2Mˢ₅Mˢ₆(2)|2Mˢ₃Mˢ₄(2)|2Mˢ₅Mˢ₆(2)|2Mˢ₃Mˢ₄(2)⊕2Mˢ₅Mˢ₆(2)|2Mˢ₃Mˢ₄(2)⊕2Mˢ₅Mˢ₆(2)|2Mˢ₃Mˢ₄(2)⊕4Mˢ₅Mˢ₆(2)|4Mˢ₃Mˢ₄(2)⊕2Mˢ₅Mˢ₆(2)
Δ:(0,0,w)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δ₃(2)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δ₃(2)|2Δ₃(2)|2Δ₁(1)⊕2Δ₂(1)|4Δ₃(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(2)|2Δˢ₄Δˢ₅(2)|2Δˢ₆(2)|2Δˢ₆(2)|2Δˢ₆(2)|2Δˢ₄Δˢ₅(2)|2Δˢ₄Δˢ₅(2)|4Δˢ₆(2)|4Δˢ₄Δˢ₅(2)|2Δˢ₄Δˢ₅(2)⊕4Δˢ₆(2)|2Δˢ₄Δˢ₅(2)⊕4Δˢ₆(2)
