Wyckoff pos.|1a(2/m)|1a(2/m)|1a(2/m)|1a(2/m)|1b(2/m)|1b(2/m)|1b(2/m)|1b(2/m)|1c(2/m)|1c(2/m)|1c(2/m)|1c(2/m)|1d(2/m)|1d(2/m)|1d(2/m)|1d(2/m)|1e(2/m)|1e(2/m)|1e(2/m)|1e(2/m)|1f(2/m)|1f(2/m)|1f(2/m)|1f(2/m)|1g(2/m)|1g(2/m)|1g(2/m)|1g(2/m)|1h(2/m)|1h(2/m)|1h(2/m)|1h(2/m)|1a(2/m)|1a(2/m)|1b(2/m)|1b(2/m)|1c(2/m)|1c(2/m)|1d(2/m)|1d(2/m)|1e(2/m)|1e(2/m)|1f(2/m)|1f(2/m)|1g(2/m)|1g(2/m)|1h(2/m)|1h(2/m)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹Egˢ²Egˢ↑G(2)|¹Eᵤˢ²Eᵤˢ↑G(2)|¹Egˢ²Egˢ↑G(2)|¹Eᵤˢ²Eᵤˢ↑G(2)|¹Egˢ²Egˢ↑G(2)|¹Eᵤˢ²Eᵤˢ↑G(2)|¹Egˢ²Egˢ↑G(2)|¹Eᵤˢ²Eᵤˢ↑G(2)|¹Egˢ²Egˢ↑G(2)|¹Eᵤˢ²Eᵤˢ↑G(2)|¹Egˢ²Egˢ↑G(2)|¹Eᵤˢ²Eᵤˢ↑G(2)|¹Egˢ²Egˢ↑G(2)|¹Eᵤˢ²Eᵤˢ↑G(2)|¹Egˢ²Egˢ↑G(2)|¹Eᵤˢ²Eᵤˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(1/2,0,1/2)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₃ˢA₄ˢ(2)|A₅ˢA₆ˢ(2)|A₃ˢA₄ˢ(2)|A₅ˢA₆ˢ(2)|A₅ˢA₆ˢ(2)|A₃ˢA₄ˢ(2)|A₅ˢA₆ˢ(2)|A₃ˢA₄ˢ(2)|A₅ˢA₆ˢ(2)|A₃ˢA₄ˢ(2)|A₅ˢA₆ˢ(2)|A₃ˢA₄ˢ(2)|A₃ˢA₄ˢ(2)|A₅ˢA₆ˢ(2)|A₃ˢA₄ˢ(2)|A₅ˢA₆ˢ(2)
B:(0,0,1/2)|B₁⁺(1)|B₁⁻(1)|B₂⁺(1)|B₂⁻(1)|B₁⁺(1)|B₁⁻(1)|B₂⁺(1)|B₂⁻(1)|B₂⁻(1)|B₂⁺(1)|B₁⁻(1)|B₁⁺(1)|B₁⁺(1)|B₁⁻(1)|B₂⁺(1)|B₂⁻(1)|B₁⁺(1)|B₁⁻(1)|B₂⁺(1)|B₂⁻(1)|B₂⁻(1)|B₂⁺(1)|B₁⁻(1)|B₁⁺(1)|B₂⁻(1)|B₂⁺(1)|B₁⁻(1)|B₁⁺(1)|B₂⁻(1)|B₂⁺(1)|B₁⁻(1)|B₁⁺(1)|B₃ˢB₄ˢ(2)|B₅ˢB₆ˢ(2)|B₃ˢB₄ˢ(2)|B₅ˢB₆ˢ(2)|B₅ˢB₆ˢ(2)|B₃ˢB₄ˢ(2)|B₃ˢB₄ˢ(2)|B₅ˢB₆ˢ(2)|B₃ˢB₄ˢ(2)|B₅ˢB₆ˢ(2)|B₅ˢB₆ˢ(2)|B₃ˢB₄ˢ(2)|B₅ˢB₆ˢ(2)|B₃ˢB₄ˢ(2)|B₅ˢB₆ˢ(2)|B₃ˢB₄ˢ(2)
C:(1/2,1/2,0)|C₁⁺(1)|C₁⁻(1)|C₂⁺(1)|C₂⁻(1)|C₁⁻(1)|C₁⁺(1)|C₂⁻(1)|C₂⁺(1)|C₁⁺(1)|C₁⁻(1)|C₂⁺(1)|C₂⁻(1)|C₂⁻(1)|C₂⁺(1)|C₁⁻(1)|C₁⁺(1)|C₂⁺(1)|C₂⁻(1)|C₁⁺(1)|C₁⁻(1)|C₁⁻(1)|C₁⁺(1)|C₂⁻(1)|C₂⁺(1)|C₂⁻(1)|C₂⁺(1)|C₁⁻(1)|C₁⁺(1)|C₂⁺(1)|C₂⁻(1)|C₁⁺(1)|C₁⁻(1)|C₃ˢC₄ˢ(2)|C₅ˢC₆ˢ(2)|C₅ˢC₆ˢ(2)|C₃ˢC₄ˢ(2)|C₃ˢC₄ˢ(2)|C₅ˢC₆ˢ(2)|C₅ˢC₆ˢ(2)|C₃ˢC₄ˢ(2)|C₃ˢC₄ˢ(2)|C₅ˢC₆ˢ(2)|C₅ˢC₆ˢ(2)|C₃ˢC₄ˢ(2)|C₅ˢC₆ˢ(2)|C₃ˢC₄ˢ(2)|C₃ˢC₄ˢ(2)|C₅ˢC₆ˢ(2)
D:(0,1/2,1/2)|D₁⁺(1)|D₁⁻(1)|D₂⁺(1)|D₂⁻(1)|D₁⁻(1)|D₁⁺(1)|D₂⁻(1)|D₂⁺(1)|D₂⁻(1)|D₂⁺(1)|D₁⁻(1)|D₁⁺(1)|D₁⁺(1)|D₁⁻(1)|D₂⁺(1)|D₂⁻(1)|D₁⁻(1)|D₁⁺(1)|D₂⁻(1)|D₂⁺(1)|D₂⁺(1)|D₂⁻(1)|D₁⁺(1)|D₁⁻(1)|D₂⁻(1)|D₂⁺(1)|D₁⁻(1)|D₁⁺(1)|D₂⁺(1)|D₂⁻(1)|D₁⁺(1)|D₁⁻(1)|D₃ˢD₄ˢ(2)|D₅ˢD₆ˢ(2)|D₅ˢD₆ˢ(2)|D₃ˢD₄ˢ(2)|D₅ˢD₆ˢ(2)|D₃ˢD₄ˢ(2)|D₃ˢD₄ˢ(2)|D₅ˢD₆ˢ(2)|D₅ˢD₆ˢ(2)|D₃ˢD₄ˢ(2)|D₃ˢD₄ˢ(2)|D₅ˢD₆ˢ(2)|D₅ˢD₆ˢ(2)|D₃ˢD₄ˢ(2)|D₃ˢD₄ˢ(2)|D₅ˢD₆ˢ(2)
E:(1/2,1/2,1/2)|E₁⁺(1)|E₁⁻(1)|E₂⁺(1)|E₂⁻(1)|E₁⁻(1)|E₁⁺(1)|E₂⁻(1)|E₂⁺(1)|E₂⁻(1)|E₂⁺(1)|E₁⁻(1)|E₁⁺(1)|E₂⁻(1)|E₂⁺(1)|E₁⁻(1)|E₁⁺(1)|E₂⁺(1)|E₂⁻(1)|E₁⁺(1)|E₁⁻(1)|E₂⁺(1)|E₂⁻(1)|E₁⁺(1)|E₁⁻(1)|E₁⁺(1)|E₁⁻(1)|E₂⁺(1)|E₂⁻(1)|E₁⁻(1)|E₁⁺(1)|E₂⁻(1)|E₂⁺(1)|E₃ˢE₄ˢ(2)|E₅ˢE₆ˢ(2)|E₅ˢE₆ˢ(2)|E₃ˢE₄ˢ(2)|E₅ˢE₆ˢ(2)|E₃ˢE₄ˢ(2)|E₅ˢE₆ˢ(2)|E₃ˢE₄ˢ(2)|E₃ˢE₄ˢ(2)|E₅ˢE₆ˢ(2)|E₃ˢE₄ˢ(2)|E₅ˢE₆ˢ(2)|E₃ˢE₄ˢ(2)|E₅ˢE₆ˢ(2)|E₅ˢE₆ˢ(2)|E₃ˢE₄ˢ(2)
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃ˢΓ₄ˢ(2)|Γ₅ˢΓ₆ˢ(2)|Γ₃ˢΓ₄ˢ(2)|Γ₅ˢΓ₆ˢ(2)|Γ₃ˢΓ₄ˢ(2)|Γ₅ˢΓ₆ˢ(2)|Γ₃ˢΓ₄ˢ(2)|Γ₅ˢΓ₆ˢ(2)|Γ₃ˢΓ₄ˢ(2)|Γ₅ˢΓ₆ˢ(2)|Γ₃ˢΓ₄ˢ(2)|Γ₅ˢΓ₆ˢ(2)|Γ₃ˢΓ₄ˢ(2)|Γ₅ˢΓ₆ˢ(2)|Γ₃ˢΓ₄ˢ(2)|Γ₅ˢΓ₆ˢ(2)
Y:(1/2,0,0)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₂⁻(1)|Y₂⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₂⁻(1)|Y₂⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₁⁺(1)|Y₁⁻(1)|Y₂⁺(1)|Y₂⁻(1)|Y₂⁻(1)|Y₂⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₂⁻(1)|Y₂⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₃ˢY₄ˢ(2)|Y₅ˢY₆ˢ(2)|Y₃ˢY₄ˢ(2)|Y₅ˢY₆ˢ(2)|Y₃ˢY₄ˢ(2)|Y₅ˢY₆ˢ(2)|Y₅ˢY₆ˢ(2)|Y₃ˢY₄ˢ(2)|Y₅ˢY₆ˢ(2)|Y₃ˢY₄ˢ(2)|Y₃ˢY₄ˢ(2)|Y₅ˢY₆ˢ(2)|Y₅ˢY₆ˢ(2)|Y₃ˢY₄ˢ(2)|Y₅ˢY₆ˢ(2)|Y₃ˢY₄ˢ(2)
